rle_4var_.001,rle_4var_.01,rle_4var_.1,rle_4var_1,rle_4var_10,rle_3var_.001,rle_3var_.01,rle_3var_.1,rle_3var_1,rle_3var_10,rle_2var_.001,rle_2var_.01,rle_2var_.1,rle_2var_1,rle_2var_10,epd_4var_.001,epd_4var_.01,epd_4var_.1,epd_4var_1,epd_4var_10,epd_3var_.001,epd_3var_.01,epd_3var_.1,epd_3var_1,epd_3var_10,epd_2var_.001,epd_2var_.01,epd_2var_.1,epd_2var_1,epd_2var_10,merge_4var_.001,merge_4var_.01,merge_4var_.1,merge_4var_1,merge_4var_10,merge_3var_.001,merge_3var_.01,merge_3var_.1,merge_3var_1,merge_3var_10,merge_2var_.001,merge_2var_.01,merge_2var_.1,merge_2var_1,merge_2var_10,sep_4var_.001,sep_4var_.01,sep_4var_.1,sep_4var_1,sep_4var_10,sep_3var_.001,sep_3var_.01,sep_3var_.1,sep_3var_1,sep_3var_10,sep_2var_.001,sep_2var_.01,sep_2var_.1,sep_2var_1,sep_2var_10,wah_4var_.001,wah_4var_.01,wah_4var_.1,wah_4var_1,wah_4var_10,wah_3var_.001,wah_3var_.01,wah_3var_.1,wah_3var_1,wah_3var_10,wah_2var_.001,wah_2var_.01,wah_2var_.1,wah_2var_1,wah_2var_10,ewah_4var_.001,ewah_4var_.01,ewah_4var_.1,ewah_4var_1,ewah_4var_10,ewah_3var_.001,ewah_3var_.01,ewah_3var_.1,ewah_3var_1,ewah_3var_10,ewah_2var_.001,ewah_2var_.01,ewah_2var_.1,ewah_2var_1,ewah_2var_10 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140.212,110.88,197.654,140.489,135.556,32.0129,85.1831,139.835,90.4995,128.699,0.00605011,0.00605011,121.648,0,166.848,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,0.00605011,79.7071,93.4376,111.023,121.492,112.955,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,0.00605011,79.6876,93.3946,110.789,120.746,0.000556946,0,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,96.852,64.3168,67.6059,325.537,237.792,34.9966,428.109,504.948,335.897,190.538,6.37524,27.895,24.9809,61.2817,379.25,0,32.3016,433.874,697.086,775.977,0,860.66,706.754,779.753,0,0.000556946,0.000556946,0.000556946,0,876.026
140.212,110.88,197.653,140.489,135.556,85.1831,85.1831,139.835,90.4995,128.699,32.0099,32.0099,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,32.0099,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.021,109.974,74.9057,74.9057,109.351,79.6909,98.6323,32.0099,79.6871,93.3941,110.789,120.746,0.000686646,0.000556946,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,176.726,109.757,131.332,670.065,495.222,73.8785,673.792,729.48,666.758,454.987,9.97098,27.895,47.6919,119.036,608.551,267.727,32.3016,463.956,712.453,794.332,21.2938,848.645,760.648,815.46,675.009,0,0,14.7469,117.051,923.651
140.212,110.88,197.653,140.489,135.556,85.1831,85.1831,139.835,90.4995,128.699,64.0387,90.4961,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,66.3669,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,64.0387,79.6871,93.3941,110.789,120.746,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,240.561,179.58,219.183,721.584,768.316,118.635,818.27,781.375,815.574,622.672,13.7822,44.7153,76.8013,142.91,885.454,251.602,46.2156,441.479,733.316,809.016,21.2938,869.267,752.758,779.291,719.153,0.000999451,0.000999451,14.7469,183.657,981.796
140.212,110.88,197.653,140.489,135.556,85.1831,85.1831,139.835,90.4995,128.699,67.0783,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,66.2642,79.6871,93.3941,110.789,120.746,0,0.000686646,0,0,0,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,240.561,249.569,292.459,698.573,821.003,122.124,826.351,717.026,767.066,660.398,25.0867,44.7153,93.6216,177.8,884.971,293.626,46.2156,487.768,742.734,821.657,34.3914,925.689,767.828,797.139,694.115,0.00244904,0.00244904,24.6023,179.645,1042.58
140.212,110.88,197.653,140.489,135.556,85.1831,85.1831,139.835,90.4995,128.699,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00025177,0,0.00025177,0.00025177,0.00025177,0,0,0,0,0,0,0,0,0,0,277.994,249.569,387.201,715.326,797.601,122.124,833.407,725.426,775.875,656.285,25.0867,62.1996,106.102,180.753,898.608,262.481,55.6022,460.717,749.181,826.444,34.3914,922.458,769.456,806.91,735.155,0.00302887,0.00302887,24.6023,193.657,1023.64
140.212,110.88,197.653,140.489,135.556,85.1831,85.1831,139.835,90.4995,128.699,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00075531,0.00025177,0.00075531,0.00075531,0.00075531,0.000190735,0.000190735,0.000190735,0.000190735,0.000190735,0.0001297,0.0001297,0.0001297,0.0001297,0.0001297,270.99,287.002,416.99,696.76,812.468,156.768,838.945,732.871,779.141,619.244,31.8913,62.1997,106.102,200.32,927.881,299.778,63.2115,511.088,767.967,844.293,49.8444,954.115,787.304,834.438,772.666,0.0350266,0.0350266,35.2819,185.403,1058.57
140.212,110.88,197.653,140.489,333.497,85.1831,85.1831,139.835,90.4995,128.699,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00131226,0.00075531,0.00131226,0.00131226,0.00131226,0.000274658,0.000274658,0.000274658,0.000274658,0.000274658,0.000183105,0.000183105,0.000183105,0.000183105,0.000183105,287.479,279.998,462.139,673.914,777.031,167.272,850.547,745.254,792.422,625.316,31.8914,78.6294,124.055,197.89,917.108,269.958,70.8755,479.877,785.894,881.592,49.8444,955.873,809.904,855.246,789.705,0.0379105,0.0379105,35.2819,202.793,1085.63
140.212,110.88,197.653,140.489,333.497,85.1836,167.727,139.835,178.09,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,153.59,109.449,79.7104,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00341034,0.00131226,0.00341034,0.00341034,0.00341034,0.00037384,0.00037384,0.00037384,0.00037384,0.00037384,0.00025177,0.00025177,0.00025177,0.00025177,0.00025177,318.982,296.487,455.135,680.758,786.456,160.268,847.48,746.473,795.035,623.57,27.9443,58.5777,120.555,199.644,975.835,305.048,81.0787,529.198,832.992,891.685,36.2509,958.612,845.411,881.504,804.823,0.0424881,0.0424881,46.8834,193.266,1126.39
140.212,110.88,197.653,140.489,333.497,85.1831,167.727,139.835,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,153.589,109.449,168.828,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,151.152,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00343323,0.00341034,0.00343323,0.00343323,0.00343323,0.00050354,0.00050354,0.00050354,0.00050354,0.00050354,0.000335693,0.000335693,0.000335693,0.000335693,0.000335693,304.979,327.99,451.529,688.846,787.741,125.307,853.965,734.66,782.934,635.785,27.9444,64.6012,127.555,199.199,940.577,277.653,85.1685,494.948,866.269,898.447,57.8601,995.785,871.669,873.469,818.038,0.0470657,0.0470657,46.8834,212.907,1124.4
140.212,110.88,197.653,140.489,333.497,85.1831,167.726,139.835,178.089,262.816,67.0783,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,153.589,109.449,168.828,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,151.152,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00466156,0.00343323,0.00466156,0.00466156,0.00466156,0.000617981,0.000617981,0.000617981,0.000617981,0.000617981,0.000450134,0.000450134,0.000450134,0.000450134,0.000450134,293.248,313.987,462.033,684.26,790.015,163.667,841.863,755.48,789.934,642.859,31.7647,72.328,112.652,200.952,898.916,310.946,96.5004,537.631,870.597,899.232,65.3678,985.963,870.279,886.125,799.319,0.050087,0.050087,59.981,201.379,1133.2
140.212,110.88,197.653,140.489,333.497,85.1831,167.726,139.835,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,76.6792,153.589,109.449,168.828,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,274.923,74.9057,151.152,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.0062027,0.00466156,0.0062027,0.0062027,0.0062027,0.00117493,0.00117493,0.00117493,0.00117493,0.00117493,0.00100708,0.00100708,0.00100708,0.00100708,0.00100708,300.244,302.256,434.174,702.178,811.015,174.171,852.25,796.984,782.934,658.574,32.2022,72.3281,142.789,213.159,910.588,284.641,108.387,503.331,897.769,899.478,57.9929,999.033,890.435,899.399,840.112,0.0512314,27.3641,59.981,223.625,1141.68
140.212,110.88,197.653,263.103,333.497,85.1831,167.726,139.835,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,231.732,110.458,76.6792,153.589,109.449,168.828,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.955,94.2939,145.884,226.345,274.923,76.0424,151.152,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00622559,0.0062027,0.00622559,0.00622559,0.00622559,0.00173187,0.00173187,0.00173187,0.00173187,0.00173187,0.00156403,0.00156403,0.00156403,0.00156403,0.00156403,290.971,309.252,485.928,696.947,811.015,167.167,882.973,768.133,800.848,699.898,33.0772,103.512,153.293,209.659,910.37,315.899,120.859,513.233,904.617,911.724,72.9615,1011.85,891.322,918.133,822.331,6.33123,27.3641,75.4341,210.489,1161.61
140.212,110.88,197.653,263.102,333.497,82.3628,167.726,139.835,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,231.731,110.458,76.6792,153.589,109.449,168.828,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,226.345,274.923,76.0424,151.152,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00745392,0.00622559,0.00745392,0.00745392,0.00745392,0.00228882,0.00228882,0.00228882,0.00228882,0.00228882,0.00212097,0.00212097,0.00212097,0.00212097,0.00212097,297.967,299.979,506.928,704.002,823.425,195.171,869.008,767.508,843.031,671.348,33.0772,104.824,146.289,187.753,925.831,290.469,134.055,509.639,916.238,917.459,70.7935,1061.68,922.607,919.856,835.651,6.33123,13.7079,75.4341,236.34,1178.52
140.212,110.88,197.653,263.102,333.497,82.3628,167.727,139.835,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,231.731,110.458,76.6792,153.589,109.449,168.828,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,226.345,274.923,76.0424,151.152,109.351,166.566,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00899506,0.00745392,0.00899506,0.00899506,0.00899506,0.00284576,0.00284576,0.00284576,0.00284576,0.00284576,0.00267792,0.00267792,0.00267792,0.00267792,0.00267792,289.104,292.975,500.064,753.459,823.034,135.069,869.035,785.168,811.211,663.422,34.8272,106.574,112.652,215.745,935.842,321.602,147.933,543.588,952.281,947.791,76.1411,1052.03,911.728,928.532,841.838,3.19144,43.864,91.934,221.442,1203.94
140.212,110.88,197.653,263.102,333.497,82.3628,167.726,221.629,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,231.731,110.458,105.602,153.589,109.449,168.828,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,226.345,274.923,76.0424,151.152,109.351,166.566,222.047,66.2637,79.6871,93.3941,110.789,120.746,0.00901794,0.00899506,0.00901794,0.00901794,0.00901794,0.00297546,0.00297546,0.00297546,0.00297546,0.00297546,0.00280762,0.00280762,0.00280762,0.00280762,0.00280762,296.1,257.451,500.064,712.264,815.132,135.069,869.031,783.894,810.254,662.824,34.8272,106.574,144.793,212.245,923.874,297.282,162.324,516.702,927.101,931.81,81.5156,1067.72,925.486,917.547,853.518,9.89182,43.864,91.934,250.871,1215.1
140.212,110.88,197.653,263.102,333.497,82.3628,167.726,221.628,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,91.7548,146.497,231.731,110.458,105.601,153.589,109.449,168.828,227.023,66.3664,79.7066,93.4371,111.023,121.492,112.954,90.7001,145.884,226.345,274.923,105.57,151.152,109.351,166.566,222.046,66.2637,79.6871,93.3941,110.789,120.746,0.0102463,0.00901794,0.0102463,0.0102463,0.0102463,0.00310516,0.00310516,0.00310516,0.00310516,0.00310516,0.00293732,0.00293732,0.00293732,0.00293732,0.00293732,287.217,277.447,464.045,751.986,797.011,152.749,873.219,782.852,830.406,702.086,38.331,110.078,155.297,187.753,925.085,325.481,177.597,523.19,967.031,937.744,98.1484,1088.17,943.939,931.797,859.123,9.89182,28.7859,76.8559,233.621,1230.83
140.212,110.88,197.653,263.102,333.497,82.3628,167.726,221.628,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,91.7548,146.497,231.731,282.947,105.601,153.589,109.449,168.828,227.023,66.3664,79.7066,93.4371,111.023,121.492,112.954,90.7001,145.884,226.345,274.923,105.57,151.152,109.351,166.566,222.046,66.2637,79.6871,93.3941,110.789,120.746,0.0117874,0.0102463,0.0117874,0.0117874,0.0117874,0.00323486,0.00323486,0.00323486,0.00323486,0.00323486,0.00306702,0.00306702,0.00306702,0.00306702,0.00306702,294.213,286.459,457.033,712.264,797.011,149.249,848.859,769.66,808.184,665.809,38.3311,110.078,148.293,217.89,922.85,301.329,195.179,528.557,941.777,937.15,89.832,1108.24,944.064,942.903,869.858,6.5416,61.0358,76.9186,266.231,1251.2
140.212,108.087,197.653,263.102,333.497,82.3628,167.726,221.628,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,91.7548,146.497,231.731,282.946,105.601,153.589,201.5,168.828,227.023,66.3664,79.7066,93.4371,111.023,121.492,112.954,90.7001,145.884,226.345,274.923,105.57,151.152,197.461,166.566,222.046,66.2637,79.6871,93.3941,110.789,120.746,0.0120163,0.0117874,0.0120163,0.0120163,0.0120163,0.00327301,0.00327301,0.00327301,0.00327301,0.00327301,0.00310516,0.00310516,0.00310516,0.00310516,0.00310516,287.315,286.78,453.279,701.76,797.011,141.897,866.141,760.098,832.789,672.574,31.7784,117.078,112.652,228.394,909.065,304.891,195.179,535.002,941.793,936.502,115.73,1129.9,959.63,967.7,874.975,13.6641,61.0358,90.6529,246.438,1280.05
140.212,108.087,197.653,263.102,333.497,82.3628,167.726,221.628,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,91.7548,146.497,231.731,282.946,105.601,153.589,201.499,168.828,227.023,66.3664,79.7066,93.4371,111.023,121.492,112.954,90.7001,145.884,226.345,274.923,105.57,151.152,197.46,166.566,222.046,66.2637,79.6871,93.3941,110.789,120.746,32.0159,0.0120163,32.0159,32.0159,32.0159,0.0032959,0.0032959,0.0032959,0.0032959,0.0032959,0.00312805,0.00312805,0.00312805,0.00312805,0.00312805,294.311,272.365,449.715,726.873,807.885,159.831,866.004,755.914,817.934,685.34,31.7785,117.078,147.297,221.39,933.647,331.813,188.743,538.514,941.785,935.834,115.718,1150.19,966.915,979.262,884.389,13.6641,44.9109,97.2778,282.836,1293.54
140.212,108.087,197.653,263.102,333.497,82.3628,167.726,221.628,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,91.7548,146.497,231.731,282.946,105.601,153.589,201.499,168.828,227.023,66.3664,79.7066,93.4371,111.023,121.492,112.954,90.7001,145.884,226.345,274.923,105.57,151.152,197.46,166.566,222.046,66.2637,79.6871,93.3941,110.789,120.746,64.0197,32.0159,64.0197,64.0197,64.0197,0.00341034,0.00341034,0.00341034,0.00341034,0.00341034,0.00324249,0.00324249,0.00324249,0.00324249,0.00324249,284.713,283.893,452.428,712.264,816.874,170.335,865.93,758.016,830.699,684.629,35.813,131.078,157.801,219.894,922.85,319.813,195.609,541.749,941.754,939.086,142.348,1168.96,973.736,1002.17,884.342,10.1028,44.9553,97.2778,260.844,1312.43
140.212,108.087,197.653,263.102,333.497,82.3628,167.726,221.628,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,94.0439,91.7548,146.497,231.731,282.946,105.601,153.589,201.499,168.828,227.023,66.3664,79.7066,93.4371,111.023,121.492,112.954,90.7001,145.884,226.345,274.923,105.57,151.152,197.46,166.566,222.046,66.2637,79.6871,93.3941,110.789,120.746,64.0307,64.0197,64.0307,64.0307,64.0307,0.00396729,0.00396729,0.00396729,0.00396729,0.00396729,0.00379944,0.00379944,0.00379944,0.00379944,0.00379944,261.87,284.178,459.404,712.264,816.3,163.331,886.828,755.66,829.988,684.012,36.2505,131.078,150.797,230.398,947.131,340.462,202.609,544.635,947.851,938.516,131.727,1180.64,986.404,996.11,884.288,10.1473,44.9601,103.766,302.176,1329.6
140.212,108.087,197.653,263.102,333.497,82.3628,167.726,221.628,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,94.0439,108.986,146.497,231.731,282.946,105.601,153.589,201.499,168.828,227.023,66.3664,79.7066,93.4371,111.023,121.492,91.8173,108.923,89.1493,226.345,274.923,105.57,151.152,197.46,166.566,222.046,66.2637,79.6871,93.3941,110.789,120.746,64.0334,64.0307,64.0334,64.0334,64.0334,0.00452423,0.00452423,0.00452423,0.00452423,0.00452423,0.00435638,0.00435638,0.00435638,0.00435638,0.00435638,275.854,298.471,486.99,712.264,814.627,152.401,891.711,755.66,828.871,683.512,37.1255,86.4022,150.793,223.394,961.065,326.438,209.746,547.042,953.769,948.377,172.43,1195.81,992.24,1031.26,884.213,10.1517,44.9649,103.766,277.633,1346.59
140.212,108.087,197.653,263.102,333.497,82.3628,167.726,221.628,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,94.0439,108.985,146.497,231.731,282.946,105.601,153.589,201.499,100.425,227.023,66.3664,79.7066,93.4371,111.023,121.492,91.8173,108.923,89.1493,226.345,274.923,105.57,151.152,197.46,166.566,222.046,66.2637,79.6871,93.3941,110.789,120.746,64.0415,64.0334,64.0415,64.0415,64.0415,0.00508118,0.00508118,0.00508118,0.00508118,0.00508118,0.00491333,0.00491333,0.00491333,0.00491333,0.00491333,253.08,280.393,474.217,718.569,813.686,162.905,864.645,743.406,817.934,683.332,37.1255,86.4023,126.652,215.394,960.991,347.458,231.82,548.908,959.418,953.729,149.953,1209.67,1003.62,1044.78,890.28,10.1561,44.9702,120.446,323.395,1353.18
